"name","lon","lat","category"
"Onze @ Tanjong Pagar",103.842087,1.2750359,"Condominiums"
"Park 1 Suites",103.8894194,1.3140331,"Condominiums"
"Residence 1",103.6871961,1.3450273,"Condominiums"
"Rezi 3Two",103.8868491,1.3122027,"Condominiums"
"Ritz @ Farrer",103.8600906,1.2907544,"Condominiums"
"Riverbank @ Fernvale",103.8813586,1.3948529,"Condominiums"
"Rivertrees Residences",103.880661,1.3937854,"Condominiums"
"Signature At Yishun",103.8450506,1.4171753,"Condominiums"
"Spottiswoode Suites",103.8374577,1.2760101,"Condominiums"
"Sunnyvale Residences",103.9151574,1.3134205,"Condominiums"
"The Asana",103.8107638,1.3221465,"Condominiums"
"The Brownstone",103.8272035,1.4458093,"Condominiums"
"The Citron",103.8572746,1.3126974,"Condominiums"
"The Creek @ Bukit",103.7699301,1.3400462,"Condominiums"
"The Orient",103.7837817,1.2811527,"Condominiums"
"The Panorama",103.8346264,1.3756799,"Condominiums"
"The Rise @ Oxley - Residences",103.8431027,1.2974406,"Condominiums"
"The Santorini",103.9279421,1.3521455,"Condominiums"
"The Terrace",103.9158419,1.4017827,"Condominiums"
"The Venue Residences",103.8695664,1.3286027,"Condominiums"
"Treasures @ G6",103.8767491,1.3106288,"Condominiums"
"Vue 8 Residence",103.9409322,1.3823183,"Condominiums"
"Waterfront @ Faber",103.7546373,1.3235795,"Condominiums"
"Watertown",103.9015464,1.4068554,"Condominiums"
"Westwood Residences",103.69653,1.3521112,"Condominiums"
"Cosmo Loft",103.8526288,1.3215002,"Condominiums"
"Prestige Point",103.8801316,1.3495918,"Condominiums"
"Permai Residences",103.8272827,1.2718706,"Condominiums"
"Sunstone Residences",103.9091282,1.3260001,"Condominiums"
"Valley House",103.838056,1.29606,"Condominiums"
"28 RC Suites",103.8528941,1.309985,"Condominiums"
"8M Residences",103.8886425,1.2991856,"Condominiums"
"Aspen LinQ",103.839831,1.2952921,"Condominiums"
"Cairnhill Nine",103.837257,1.303817,"Condominiums"
"Cambio Suites",103.8762886,1.3550408,"Condominiums"
"Charlton Park",103.8817505,1.3549226,"Condominiums"
"Cluny Park Residence",103.8139211,1.3220121,"Condominiums"
"Dunman Regency",103.8933663,1.3095003,"Condominiums"
"E Maison",103.8691893,1.343313,"Condominiums"
"Ecopolitan",103.8980443,1.4011569,"Condominiums"
